SimulationName,Season,EnvType
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterLow,1900,3
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterLow,1900,3
ExperimentDarling Downs ESiteMiles_GC120SowingEarlySoilWaterLow,1900,3
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingEarlySoilWaterLow,1900,3
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingMidSoilWaterHigh,1900,3
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterLow,1900,3
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterLow,1900,3
ExperimentDarling Downs ESitePittsworth_GC150MSowingMidSoilWaterLow,1900,3
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterLow,1900,3
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingLateSoilWaterLow,1900,3
ExperimentDarling Downs ESiteMiles_GC120SowingEarlySoilWaterLow,1901,3
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterLow,1901,3
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingEarlySoilWaterLow,1902,3
ExperimentDarling Downs ESitePittsworth_GC150MSowingMidSoilWaterLow,1902,3
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterLow,1902,3
ExperimentDarling Downs ESiteDalby_GC150MSowingMidSoilWaterLow,1902,3
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingLateSoilWaterHigh,1902,3
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterMid,1902,3
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingLateSoilWaterMid,1902,3
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingLateSoilWaterLow,1902,3
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterLow,1903,3
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterLow,1903,3
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterLow,1903,3
ExperimentDarling Downs ESiteMiles_GC120SowingMidSoilWaterLow,1903,3
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterLow,1903,3
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingMidSoilWaterLow,1903,3
ExperimentDarling Downs ESiteDalby_GC150MSowingMidSoilWaterLow,1903,3
ExperimentDarling Downs ESitePittsworth_GC150MSowingMidSoilWaterLow,1903,3
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterLow,1904,3
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterLow,1904,3
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingEarlySoilWaterLow,1904,3
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterLow,1904,3
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterMid,1904,3
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingLateSoilWaterMid,1904,3
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingLateSoilWaterLow,1904,3
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterLow,1904,3
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterLow,1905,3
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterMid,1905,3
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingEarlySoilWaterLow,1905,3
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterMid,1905,3
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingEarlySoilWaterMid,1906,3
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingEarlySoilWaterHigh,1906,3
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingEarlySoilWaterMid,1906,3
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterMid,1907,3
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterMid,1907,3
ExperimentDarling Downs ESiteMiles_GC120SowingMidSoilWaterMid,1907,3
ExperimentDarling Downs ESiteDalby_GC150MSowingMidSoilWaterMid,1907,3
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterLow,1907,3
ExperimentDarling Downs ESiteMiles_GC120SowingMidSoilWaterLow,1907,3
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterLow,1907,3
ExperimentDarling Downs ESiteDalby_GC150MSowingMidSoilWaterLow,1907,3
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterLow,1907,3
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingMidSoilWaterLow,1907,3
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingEarlySoilWaterLow,1908,3
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingEarlySoilWaterLow,1908,3
ExperimentDarling Downs ESiteMiles_GC120SowingEarlySoilWaterLow,1908,3
ExperimentDarling Downs ESiteDalby_GC150MSowingMidSoilWaterHigh,1908,3
ExperimentDarling Downs ESiteDalby_GC150MSowingMidSoilWaterMid,1908,3
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterMid,1908,3
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterLow,1908,3
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterLow,1908,3
ExperimentDarling Downs ESitePittsworth_GC150MSowingMidSoilWaterMid,1908,3
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterLow,1908,3
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterLow,1908,3
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterHigh,1909,3
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterHigh,1909,3
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterMid,1909,3
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterMid,1909,3
ExperimentDarling Downs ESitePittsworth_GC150MSowingEarlySoilWaterMid,1909,3
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingEarlySoilWaterLow,1909,3
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterLow,1909,3
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterLow,1909,3
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterLow,1909,3
ExperimentDarling Downs ESitePittsworth_GC150MSowingEarlySoilWaterLow,1909,3
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterMid,1910,3
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingEarlySoilWaterMid,1910,3
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingEarlySoilWaterLow,1910,3
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterLow,1910,3
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterLow,1910,3
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterLow,1910,3
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingEarlySoilWaterLow,1910,3
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingEarlySoilWaterLow,1910,3
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterHigh,1911,3
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterMid,1911,3
ExperimentDarling Downs ESiteMiles_GC120SowingMidSoilWaterLow,1911,3
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterMid,1911,3
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterLow,1911,3
ExperimentDarling Downs ESiteDalby_GC150MSowingMidSoilWaterLow,1911,3
ExperimentDarling Downs ESitePittsworth_GC150MSowingMidSoilWaterLow,1911,3
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingMidSoilWaterMid,1911,3
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterLow,1911,3
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterLow,1911,3
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterLow,1911,3
ExperimentDarling Downs ESiteMiles_GC120SowingEarlySoilWaterLow,1912,3
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterMid,1912,3
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterHigh,1912,3
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterLow,1912,3
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingMidSoilWaterLow,1912,3
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingLateSoilWaterLow,1912,3
ExperimentDarling Downs ESitePittsworth_GC150MSowingEarlySoilWaterMid,1913,3
ExperimentDarling Downs ESiteMiles_GC120SowingEarlySoilWaterLow,1913,3
ExperimentDarling Downs ESitePittsworth_GC150MSowingEarlySoilWaterLow,1913,3
ExperimentDarling Downs ESiteMiles_GC120SowingMidSoilWaterLow,1913,3
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterMid,1913,3
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingMidSoilWaterHigh,1913,3
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterLow,1913,3
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterLow,1913,3
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingMidSoilWaterMid,1913,3
ExperimentDarling Downs ESiteDalby_GC150MSowingMidSoilWaterLow,1913,3
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterLow,1913,3
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterLow,1913,3
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingLateSoilWaterLow,1914,3
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterLow,1915,3
ExperimentDarling Downs ESiteMiles_GC120SowingEarlySoilWaterLow,1915,3
ExperimentDarling Downs ESitePittsworth_GC150MSowingEarlySoilWaterLow,1915,3
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterLow,1915,3
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterMid,1915,3
ExperimentDarling Downs ESiteDalby_GC150MSowingMidSoilWaterLow,1915,3
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterLow,1915,3
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingMidSoilWaterHigh,1915,3
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingMidSoilWaterMid,1915,3
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterLow,1915,3
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterLow,1915,3
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterLow,1915,3
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingLateSoilWaterLow,1915,3
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingLateSoilWaterLow,1915,3
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterLow,1915,3
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterLow,1917,3
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingEarlySoilWaterLow,1918,3
ExperimentDarling Downs ESitePittsworth_GC150MSowingMidSoilWaterLow,1918,3
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterLow,1918,3
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterLow,1918,3
ExperimentDarling Downs ESiteDalby_GC150MSowingMidSoilWaterLow,1918,3
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingEarlySoilWaterMid,1919,3
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterHigh,1919,3
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterMid,1919,3
