SimulationName,Season,EnvType
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterHigh,1900,2
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterHigh,1900,2
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingLateSoilWaterHigh,1900,2
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterHigh,1900,2
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterMid,1900,2
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingLateSoilWaterMid,1900,2
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterMid,1900,2
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterHigh,1900,2
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingLateSoilWaterMid,1900,2
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingLateSoilWaterHigh,1900,2
ExperimentDarling Downs ESitePittsworth_GC150MSowingLateSoilWaterHigh,1901,2
ExperimentDarling Downs ESiteMiles_GC120SowingEarlySoilWaterHigh,1902,2
ExperimentDarling Downs ESiteMiles_GC120SowingEarlySoilWaterMid,1902,2
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterMid,1902,2
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterHigh,1902,2
ExperimentDarling Downs ESitePittsworth_GC150MSowingEarlySoilWaterHigh,1902,2
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterMid,1902,2
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterHigh,1902,2
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterMid,1902,2
ExperimentDarling Downs ESitePittsworth_GC150MSowingLateSoilWaterLow,1902,2
ExperimentDarling Downs ESiteMiles_GC120SowingEarlySoilWaterMid,1903,2
ExperimentDarling Downs ESiteMiles_GC120SowingEarlySoilWaterHigh,1903,2
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingEarlySoilWaterMid,1903,2
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingEarlySoilWaterMid,1903,2
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingEarlySoilWaterHigh,1903,2
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingEarlySoilWaterHigh,1903,2
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingEarlySoilWaterMid,1903,2
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingEarlySoilWaterHigh,1903,2
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterHigh,1903,2
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterMid,1903,2
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterHigh,1903,2
ExperimentDarling Downs ESitePittsworth_GC150MSowingEarlySoilWaterMid,1903,2
ExperimentDarling Downs ESitePittsworth_GC150MSowingEarlySoilWaterHigh,1903,2
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterHigh,1903,2
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterHigh,1903,2
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterHigh,1903,2
ExperimentDarling Downs ESitePittsworth_GC150MSowingMidSoilWaterHigh,1903,2
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterMid,1903,2
ExperimentDarling Downs ESitePittsworth_GC150MSowingLateSoilWaterMid,1903,2
ExperimentDarling Downs ESitePittsworth_GC150MSowingLateSoilWaterHigh,1903,2
ExperimentDarling Downs ESitePittsworth_GC150MSowingLateSoilWaterLow,1903,2
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterHigh,1904,2
