SimulationName,Season,EnvType
ExperimentDarling Downs ESiteMiles_GC120SowingEarlySoilWaterMid,1900,4
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingEarlySoilWaterMid,1900,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingEarlySoilWaterMid,1900,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterHigh,1900,4
ExperimentDarling Downs ESitePittsworth_GC150MSowingEarlySoilWaterLow,1900,4
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingEarlySoilWaterLow,1900,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingMidSoilWaterMid,1900,4
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterMid,1900,4
ExperimentDarling Downs ESiteDalby_GC150MSowingMidSoilWaterLow,1900,4
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterLow,1900,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterMid,1900,4
ExperimentDarling Downs ESiteMiles_GC120SowingMidSoilWaterLow,1900,4
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingLateSoilWaterLow,1900,4
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterLow,1900,4
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingEarlySoilWaterLow,1901,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterLow,1901,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingEarlySoilWaterMid,1901,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterHigh,1901,4
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterHigh,1901,4
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterMid,1901,4
ExperimentDarling Downs ESiteMiles_GC120SowingEarlySoilWaterMid,1901,4
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterLow,1901,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterMid,1901,4
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterLow,1901,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingEarlySoilWaterLow,1901,4
ExperimentDarling Downs ESitePittsworth_GC150MSowingEarlySoilWaterLow,1901,4
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingEarlySoilWaterLow,1901,4
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterLow,1901,4
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterMid,1901,4
ExperimentDarling Downs ESiteDalby_GC150MSowingMidSoilWaterLow,1901,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterLow,1901,4
ExperimentDarling Downs ESiteDalby_GC150MSowingMidSoilWaterMid,1901,4
ExperimentDarling Downs ESiteMiles_GC120SowingMidSoilWaterLow,1901,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterMid,1901,4
ExperimentDarling Downs ESitePittsworth_GC150MSowingMidSoilWaterLow,1901,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingMidSoilWaterHigh,1901,4
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterLow,1901,4
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterLow,1901,4
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterMid,1901,4
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingLateSoilWaterMid,1901,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingLateSoilWaterMid,1901,4
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterMid,1901,4
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingLateSoilWaterLow,1901,4
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterLow,1901,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingLateSoilWaterLow,1901,4
ExperimentDarling Downs ESitePittsworth_GC150MSowingLateSoilWaterLow,1901,4
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterLow,1901,4
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterLow,1901,4
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingEarlySoilWaterMid,1902,4
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterLow,1902,4
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterLow,1902,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterMid,1902,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterLow,1902,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingEarlySoilWaterLow,1902,4
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterLow,1902,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterLow,1902,4
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterHigh,1902,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingMidSoilWaterMid,1902,4
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterMid,1902,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterMid,1902,4
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterMid,1902,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingMidSoilWaterHigh,1902,4
ExperimentDarling Downs ESiteMiles_GC120SowingMidSoilWaterLow,1902,4
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterLow,1902,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterLow,1903,4
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterLow,1903,4
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterLow,1903,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingEarlySoilWaterMid,1904,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterHigh,1904,4
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingEarlySoilWaterMid,1904,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterMid,1904,4
ExperimentDarling Downs ESiteMiles_GC120SowingEarlySoilWaterLow,1904,4
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingEarlySoilWaterLow,1904,4
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingEarlySoilWaterLow,1904,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingMidSoilWaterLow,1904,4
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterMid,1904,4
ExperimentDarling Downs ESiteMiles_GC120SowingMidSoilWaterLow,1904,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterLow,1904,4
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterLow,1904,4
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterLow,1904,4
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingEarlySoilWaterMid,1905,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingEarlySoilWaterLow,1905,4
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingEarlySoilWaterMid,1905,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingMidSoilWaterMid,1905,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterLow,1905,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingMidSoilWaterLow,1905,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingLateSoilWaterLow,1905,4
ExperimentDarling Downs ESiteMiles_GC120SowingEarlySoilWaterLow,1907,4
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterLow,1907,4
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterLow,1907,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingEarlySoilWaterLow,1907,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterLow,1907,4
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingEarlySoilWaterLow,1907,4
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingEarlySoilWaterLow,1907,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingEarlySoilWaterLow,1908,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterMid,1908,4
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterLow,1908,4
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterLow,1908,4
ExperimentDarling Downs ESitePittsworth_GC150MSowingEarlySoilWaterLow,1908,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingMidSoilWaterHigh,1908,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterLow,1908,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingMidSoilWaterMid,1908,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingLateSoilWaterMid,1908,4
ExperimentDarling Downs ESiteMiles_GC120SowingEarlySoilWaterLow,1909,4
ExperimentDarling Downs ESiteMiles_GC120SowingEarlySoilWaterMid,1911,4
ExperimentDarling Downs ESitePittsworth_GC150MSowingEarlySoilWaterLow,1911,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterMid,1911,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingEarlySoilWaterLow,1911,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingEarlySoilWaterMid,1911,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterHigh,1911,4
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingEarlySoilWaterMid,1911,4
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterLow,1911,4
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterLow,1911,4
ExperimentDarling Downs ESiteMiles_GC120SowingEarlySoilWaterLow,1911,4
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingEarlySoilWaterLow,1911,4
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterHigh,1911,4
ExperimentDarling Downs ESiteDalby_GC150MSowingMidSoilWaterMid,1911,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterHigh,1911,4
ExperimentDarling Downs ESitePittsworth_GC150MSowingMidSoilWaterMid,1911,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterMid,1911,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingMidSoilWaterHigh,1911,4
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingLateSoilWaterLow,1911,4
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterLow,1911,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingLateSoilWaterLow,1911,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingEarlySoilWaterHigh,1912,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingEarlySoilWaterMid,1912,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterHigh,1912,4
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterLow,1912,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingMidSoilWaterHigh,1912,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterMid,1912,4
ExperimentDarling Downs ESiteMiles_GC120SowingMidSoilWaterLow,1912,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingMidSoilWaterMid,1912,4
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterLow,1912,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterLow,1913,4
ExperimentDarling Downs ESiteMiles_GC120SowingEarlySoilWaterMid,1913,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterMid,1913,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingEarlySoilWaterLow,1913,4
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingEarlySoilWaterMid,1913,4
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterHigh,1913,4
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterMid,1913,4
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterHigh,1913,4
