SimulationName,Season,EnvType
ExperimentDarling Downs ESiteMiles_GC120SowingEarlySoilWaterHigh,1900,5
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterMid,1900,5
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterHigh,1900,5
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingEarlySoilWaterHigh,1900,5
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingEarlySoilWaterHigh,1900,5
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingEarlySoilWaterHigh,1900,5
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingEarlySoilWaterMid,1900,5
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterMid,1900,5
ExperimentDarling Downs ESitePittsworth_GC150MSowingEarlySoilWaterHigh,1900,5
ExperimentDarling Downs ESitePittsworth_GC150MSowingEarlySoilWaterMid,1900,5
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterHigh,1900,5
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterHigh,1900,5
ExperimentDarling Downs ESiteMiles_GC120SowingMidSoilWaterHigh,1900,5
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterMid,1900,5
ExperimentDarling Downs ESiteMiles_GC120SowingMidSoilWaterMid,1900,5
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterMid,1900,5
ExperimentDarling Downs ESiteDalby_GC150MSowingMidSoilWaterMid,1900,5
ExperimentDarling Downs ESiteDalby_GC150MSowingMidSoilWaterHigh,1900,5
ExperimentDarling Downs ESitePittsworth_GC150MSowingMidSoilWaterMid,1900,5
ExperimentDarling Downs ESitePittsworth_GC150MSowingMidSoilWaterHigh,1900,5
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterHigh,1900,5
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingLateSoilWaterMid,1900,5
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterLow,1900,5
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingLateSoilWaterLow,1900,5
