SimulationName,Season,EnvType
ExperimentDarling Downs ESitePittsworth_GC150MSowingMidSoilWaterLow,1905,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingMidSoilWaterMid,1905,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingMidSoilWaterHigh,1905,1
ExperimentDarling Downs ESiteMiles_GC120SowingMidSoilWaterLow,1905,1
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterLow,1905,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterLow,1905,1
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingLateSoilWaterMid,1905,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterMid,1905,1
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingLateSoilWaterHigh,1905,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterHigh,1905,1
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterLow,1905,1
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterMid,1905,1
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterHigh,1905,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterLow,1905,1
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterLow,1905,1
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterMid,1905,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterMid,1905,1
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterHigh,1905,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterHigh,1905,1
ExperimentDarling Downs ESiteMiles_GC120SowingEarlySoilWaterHigh,1906,1
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterMid,1906,1
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterHigh,1906,1
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterHigh,1906,1
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterMid,1906,1
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingEarlySoilWaterHigh,1906,1
ExperimentDarling Downs ESiteMiles_GC120SowingEarlySoilWaterLow,1906,1
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterLow,1906,1
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterLow,1906,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingEarlySoilWaterMid,1906,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingEarlySoilWaterHigh,1906,1
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingEarlySoilWaterLow,1906,1
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingEarlySoilWaterLow,1906,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingEarlySoilWaterLow,1906,1
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingEarlySoilWaterLow,1906,1
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterMid,1906,1
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterHigh,1906,1
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingLateSoilWaterMid,1906,1
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingLateSoilWaterHigh,1906,1
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingLateSoilWaterHigh,1906,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterHigh,1906,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingLateSoilWaterMid,1906,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingLateSoilWaterHigh,1906,1
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterHigh,1907,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterHigh,1907,1
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterHigh,1907,1
ExperimentDarling Downs ESiteMiles_GC120SowingMidSoilWaterHigh,1907,1
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterHigh,1907,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingMidSoilWaterMid,1907,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingMidSoilWaterHigh,1907,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterLow,1907,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingMidSoilWaterLow,1907,1
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingLateSoilWaterMid,1907,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterMid,1907,1
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingLateSoilWaterHigh,1907,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterHigh,1907,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterLow,1907,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterLow,1907,1
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterMid,1907,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterMid,1907,1
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterHigh,1907,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterHigh,1907,1
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterMid,1907,1
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterHigh,1907,1
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingLateSoilWaterMid,1907,1
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingLateSoilWaterMid,1907,1
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingLateSoilWaterHigh,1907,1
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingLateSoilWaterHigh,1907,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingLateSoilWaterLow,1907,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingLateSoilWaterMid,1907,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingLateSoilWaterHigh,1907,1
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingLateSoilWaterLow,1907,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterHigh,1908,1
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterMid,1908,1
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterHigh,1908,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterMid,1908,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterHigh,1908,1
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterMid,1908,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterMid,1908,1
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterHigh,1908,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterHigh,1908,1
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterMid,1908,1
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterHigh,1908,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingEarlySoilWaterHigh,1909,1
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterHigh,1909,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingEarlySoilWaterHigh,1909,1
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingEarlySoilWaterLow,1909,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingEarlySoilWaterLow,1909,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterHigh,1909,1
ExperimentDarling Downs ESiteMiles_GC120SowingMidSoilWaterLow,1909,1
